user_genome	classification	ID
PLC313.10	Acutalibacteraceae	Acutalibacteraceae PLC313.10
PLC313.11	Collinsella sp003459245	Collinsella sp003459245 PLC313.11
PLC313.17	Gemmiger qucibialis	Gemmiger qucibialis PLC313.17
PLC313.19	Alistipes putredinis	Alistipes putredinis PLC313.19
PLC313.23	Megamonas funiformis	Megamonas funiformis PLC313.23
PLC313.4	Lachnospira sp000436475	Lachnospira sp000436475 PLC313.4
PLC313.5	Ruminococcus_E bromii_B	Ruminococcus_E bromii_B PLC313.5
PLC313.9	Faecalibacillus intestinalis	Faecalibacillus intestinalis PLC313.9
PLC314.14	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 PLC314.14
PLC314.18	Dialister succinatiphilus	Dialister succinatiphilus PLC314.18
PLC314.21	Ligilactobacillus salivarius	Ligilactobacillus salivarius PLC314.21
PLC314.24	Prevotella copri_A	Prevotella copri_A PLC314.24
PLC314.8	Lactococcus lactis	Lactococcus lactis PLC314.8
PLC315.12	Fimenecus sp000432435	Fimenecus sp000432435 PLC315.12
PLC315.29	Prevotella sp015074785	Prevotella sp015074785 PLC315.29
PLC315.6	Gemmiger qucibialis	Gemmiger qucibialis PLC315.6
PLC315.8	Coprococcus eutactus_A	Coprococcus eutactus_A PLC315.8
PLC316.10	Lachnospira eligens_A	Lachnospira eligens_A PLC316.10
PLC316.17	Agathobacter faecis	Agathobacter faecis PLC316.17
PLC316.2	Ruminococcus_E sp003526955	Ruminococcus_E sp003526955 PLC316.2
PLC316.20	Anaerotignum faecicola	Anaerotignum faecicola PLC316.20
PLC316.7	Ruminococcaceae	Ruminococcaceae PLC316.7
PLC316.8	Roseburia inulinivorans	Roseburia inulinivorans PLC316.8
PLC317.3	Veillonella parvula_A	Veillonella parvula_A PLC317.3
PLC317.6	Enterocloster clostridioformis	Enterocloster clostridioformis PLC317.6
PLC318.3	Megamonas funiformis	Megamonas funiformis PLC318.3
PLC318.8	Bifidobacterium pseudocatenulatum	Bifidobacterium pseudocatenulatum PLC318.8
PLC319.1	Ruminococcus_D bicirculans	Ruminococcus_D bicirculans PLC319.1
PLC319.12	Gemmiger qucibialis	Gemmiger qucibialis PLC319.12
PLC319.13	Eubacterium_G ventriosum	Eubacterium_G ventriosum PLC319.13
PLC319.14	Agathobacter rectalis	Agathobacter rectalis PLC319.14
PLC319.16	Faecalibacillus faecis	Faecalibacillus faecis PLC319.16
PLC319.20	Oscillospiraceae	Oscillospiraceae PLC319.20
PLC319.26	Anaerobutyricum soehngenii	Anaerobutyricum soehngenii PLC319.26
PLC320.14	Escherichia coli	Escherichia coli PLC320.14
PLC320.16	Agathobaculum butyriciproducens	Agathobaculum butyriciproducens PLC320.16
